location,sex,age,year,percent_of_prevalence,upper_bound,lower_bound,generation,prevalence %,beer_price_usd,tax_revenue_pct,household_exp_pct,liters_per_capita
Albania,Male,15-19 years,2010,0.009399288,0.015125832,0.005307184,Millennial,0.94%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2010,0.00638816,0.010502061,0.003392819,Millennial,0.64%,0.71,,1.3,4.216621309
Albania,Male,15-19 years,2011,0.009434862,0.014971941,0.005257841,Millennial,0.94%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2011,0.006383529,0.010456623,0.003391512,Millennial,0.64%,0.71,,1.3,4.216621309
Albania,Male,15-19 years,2012,0.009482925,0.01493372,0.00509937,Gen_Z,0.95%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2012,0.006370046,0.010399408,0.003423692,Gen_Z,0.64%,0.71,,1.3,4.216621309
Albania,Male,15-19 years,2013,0.009531814,0.015025326,0.00501671,Gen_Z,0.95%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2013,0.006352074,0.010392297,0.003449951,Gen_Z,0.64%,0.71,,1.3,4.216621309
Albania,Male,15-19 years,2014,0.009571084,0.015220278,0.005163162,Gen_Z,0.96%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2014,0.006333155,0.010447181,0.003373335,Gen_Z,0.63%,0.71,,1.3,4.216621309
Albania,Male,15-19 years,2015,0.009590851,0.015428142,0.005361213,Gen_Z,0.96%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2015,0.006318277,0.010384228,0.003364943,Gen_Z,0.63%,0.71,,1.3,4.216621309
Albania,Male,15-19 years,2016,0.009524621,0.015239051,0.005063345,Gen_Z,0.95%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2016,0.006302366,0.010375203,0.003471128,Gen_Z,0.63%,0.71,,1.3,4.216621309
Albania,Male,15-19 years,2017,0.009357809,0.015061348,0.00495321,Gen_Z,0.94%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2017,0.006279153,0.010311627,0.003528657,Gen_Z,0.63%,0.71,,1.3,4.216621309
Albania,Male,15-19 years,2018,0.009156708,0.014776796,0.004953407,Gen_Z,0.92%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2018,0.006252615,0.010241681,0.003440326,Gen_Z,0.63%,0.71,,1.3,4.216621309
Albania,Male,15-19 years,2019,0.008986885,0.014292387,0.004894428,Gen_Z,0.90%,0.71,,1.3,4.216621309
Albania,Female,15-19 years,2019,0.006226554,0.010052877,0.003334988,Gen_Z,0.62%,0.71,,1.3,4.216621309
Czechia,Male,15-19 years,2010,0.009703706,0.015452563,0.005573619,Millennial,0.97%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2010,0.006642821,0.010607735,0.003371773,Millennial,0.66%,0.86,,1.5,13.05
Czechia,Male,15-19 years,2011,0.009724061,0.015349983,0.005648893,Millennial,0.97%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2011,0.00662515,0.010633277,0.003520693,Millennial,0.66%,0.86,,1.5,13.05
Czechia,Male,15-19 years,2012,0.009759908,0.015539398,0.005643982,Gen_Z,0.98%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2012,0.006583447,0.010601527,0.003609889,Gen_Z,0.66%,0.86,,1.5,13.05
Czechia,Male,15-19 years,2013,0.009799826,0.015473831,0.005598927,Gen_Z,0.98%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2013,0.006533037,0.010682192,0.003535252,Gen_Z,0.65%,0.86,,1.5,13.05
Czechia,Male,15-19 years,2014,0.00983403,0.015506161,0.005532155,Gen_Z,0.98%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2014,0.006490177,0.010661714,0.003462964,Gen_Z,0.65%,0.86,,1.5,13.05
Czechia,Male,15-19 years,2015,0.009851341,0.015644304,0.005454265,Gen_Z,0.99%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2015,0.006470405,0.0105569,0.003547527,Gen_Z,0.65%,0.86,,1.5,13.05
Czechia,Male,15-19 years,2016,0.009780088,0.015469818,0.005381762,Gen_Z,0.98%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2016,0.006472252,0.010521616,0.00351735,Gen_Z,0.65%,0.86,,1.5,13.05
Czechia,Male,15-19 years,2017,0.009604033,0.015160015,0.005351048,Gen_Z,0.96%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2017,0.006482702,0.010536928,0.003558418,Gen_Z,0.65%,0.86,,1.5,13.05
Czechia,Male,15-19 years,2018,0.009386208,0.014729409,0.005340936,Gen_Z,0.94%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2018,0.006495785,0.010544427,0.003594176,Gen_Z,0.65%,0.86,,1.5,13.05
Czechia,Male,15-19 years,2019,0.009194299,0.014359553,0.005112754,Gen_Z,0.92%,0.86,,1.5,13.05
Czechia,Female,15-19 years,2019,0.006507197,0.010629227,0.003579252,Gen_Z,0.65%,0.86,,1.5,13.05
Germany,Male,15-19 years,2010,0.026290566,0.03557582,0.018200803,Millennial,2.63%,2.65,0.6,,10.82
Germany,Female,15-19 years,2010,0.012436908,0.017505576,0.008449,Millennial,1.24%,2.65,0.6,,10.82
Germany,Male,15-19 years,2011,0.025472777,0.035041384,0.017264186,Millennial,2.55%,2.65,0.6,,10.82
Germany,Female,15-19 years,2011,0.012181217,0.017291005,0.008079458,Millennial,1.22%,2.65,0.6,,10.82
Germany,Male,15-19 years,2012,0.023917456,0.032754504,0.016015189,Gen_Z,2.39%,2.65,0.6,,10.82
Germany,Female,15-19 years,2012,0.011596266,0.016631872,0.007580718,Gen_Z,1.16%,2.65,0.6,,10.82
Germany,Male,15-19 years,2013,0.022096108,0.031672013,0.013929455,Gen_Z,2.21%,2.65,0.6,,10.82
Germany,Female,15-19 years,2013,0.010895528,0.015979022,0.00695268,Gen_Z,1.09%,2.65,0.6,,10.82
Germany,Male,15-19 years,2014,0.020489754,0.030443194,0.012337829,Gen_Z,2.05%,2.65,0.6,,10.82
Germany,Female,15-19 years,2014,0.010294327,0.015493312,0.006233711,Gen_Z,1.03%,2.65,0.6,,10.82
Germany,Male,15-19 years,2015,0.019585044,0.02998345,0.011693437,Gen_Z,1.96%,2.65,0.6,,10.82
Germany,Female,15-19 years,2015,0.010008599,0.015526788,0.005691816,Gen_Z,1.00%,2.65,0.6,,10.82
Germany,Male,15-19 years,2016,0.019230511,0.02965608,0.011646044,Gen_Z,1.92%,2.65,0.6,,10.82
Germany,Female,15-19 years,2016,0.009960062,0.015371492,0.00564967,Gen_Z,1.00%,2.65,0.6,,10.82
Germany,Male,15-19 years,2017,0.018949921,0.02907294,0.011733028,Gen_Z,1.89%,2.65,0.6,,10.82
Germany,Female,15-19 years,2017,0.009926003,0.015360105,0.005501191,Gen_Z,0.99%,2.65,0.6,,10.82
Germany,Male,15-19 years,2018,0.018733868,0.028686355,0.011275938,Gen_Z,1.87%,2.65,0.6,,10.82
Germany,Female,15-19 years,2018,0.009902706,0.015453809,0.005637576,Gen_Z,0.99%,2.65,0.6,,10.82
Germany,Male,15-19 years,2019,0.018575142,0.028239495,0.0110918,Gen_Z,1.86%,2.65,0.6,,10.82
Germany,Female,15-19 years,2019,0.009887665,0.015690919,0.005691372,Gen_Z,0.99%,2.65,0.6,,10.82
Ireland,Male,15-19 years,2010,0.029760893,0.045495232,0.017785369,Millennial,2.98%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2010,0.017504544,0.026457699,0.010316232,Millennial,1.75%,4.41,0.6,2.5,10.61333333
Ireland,Male,15-19 years,2011,0.029768959,0.04506599,0.017906537,Millennial,2.98%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2011,0.01751572,0.026226259,0.010528417,Millennial,1.75%,4.41,0.6,2.5,10.61333333
Ireland,Male,15-19 years,2012,0.029761601,0.04468174,0.017948747,Gen_Z,2.98%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2012,0.017520739,0.026170482,0.010589454,Gen_Z,1.75%,4.41,0.6,2.5,10.61333333
Ireland,Male,15-19 years,2013,0.029739906,0.045150276,0.017981216,Gen_Z,2.97%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2013,0.017518313,0.026053609,0.010441672,Gen_Z,1.75%,4.41,0.6,2.5,10.61333333
Ireland,Male,15-19 years,2014,0.029703711,0.045167286,0.018001357,Gen_Z,2.97%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2014,0.017508687,0.02611626,0.010427382,Gen_Z,1.75%,4.41,0.6,2.5,10.61333333
Ireland,Male,15-19 years,2015,0.02966034,0.044793349,0.01797991,Gen_Z,2.97%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2015,0.017491075,0.026020862,0.010517395,Gen_Z,1.75%,4.41,0.6,2.5,10.61333333
Ireland,Male,15-19 years,2016,0.029489115,0.045063291,0.017953145,Gen_Z,2.95%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2016,0.017409335,0.026029673,0.01035154,Gen_Z,1.74%,4.41,0.6,2.5,10.61333333
Ireland,Male,15-19 years,2017,0.029151102,0.044871298,0.017435055,Gen_Z,2.92%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2017,0.017240714,0.026043263,0.010051779,Gen_Z,1.72%,4.41,0.6,2.5,10.61333333
Ireland,Male,15-19 years,2018,0.028720034,0.044618333,0.016996916,Gen_Z,2.87%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2018,0.01702301,0.025625549,0.009931541,Gen_Z,1.70%,4.41,0.6,2.5,10.61333333
Ireland,Male,15-19 years,2019,0.028283713,0.044421454,0.01632471,Gen_Z,2.83%,4.41,0.6,2.5,10.61333333
Ireland,Female,15-19 years,2019,0.016798945,0.025366501,0.009824952,Gen_Z,1.68%,4.41,0.6,2.5,10.61333333
Italy,Male,15-19 years,2010,0.016641179,0.023031422,0.011266629,Millennial,1.66%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2010,0.009569074,0.013530531,0.006483592,Millennial,0.96%,4.56,0.6,1.6,7.816666667
Italy,Male,15-19 years,2011,0.01666485,0.02300191,0.011287535,Millennial,1.67%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2011,0.009571912,0.013535601,0.006497898,Millennial,0.96%,4.56,0.6,1.6,7.816666667
Italy,Male,15-19 years,2012,0.016717297,0.0229991,0.011321177,Gen_Z,1.67%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2012,0.009581695,0.013598851,0.006518419,Gen_Z,0.96%,4.56,0.6,1.6,7.816666667
Italy,Male,15-19 years,2013,0.01677614,0.022998088,0.01132099,Gen_Z,1.68%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2013,0.009596234,0.013589292,0.006541247,Gen_Z,0.96%,4.56,0.6,1.6,7.816666667
Italy,Male,15-19 years,2014,0.016827033,0.023155196,0.011308316,Gen_Z,1.68%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2014,0.009610892,0.013571109,0.006555177,Gen_Z,0.96%,4.56,0.6,1.6,7.816666667
Italy,Male,15-19 years,2015,0.01684501,0.023308272,0.01126294,Gen_Z,1.68%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2015,0.00962237,0.013515309,0.006562442,Gen_Z,0.96%,4.56,0.6,1.6,7.816666667
Italy,Male,15-19 years,2016,0.016715951,0.023059038,0.01123267,Gen_Z,1.67%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2016,0.009637738,0.013591869,0.006588906,Gen_Z,0.96%,4.56,0.6,1.6,7.816666667
Italy,Male,15-19 years,2017,0.016405512,0.022565067,0.011082304,Gen_Z,1.64%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2017,0.009661501,0.013578757,0.006627152,Gen_Z,0.97%,4.56,0.6,1.6,7.816666667
Italy,Male,15-19 years,2018,0.016024949,0.021950413,0.01087567,Gen_Z,1.60%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2018,0.009685634,0.013537634,0.006662094,Gen_Z,0.97%,4.56,0.6,1.6,7.816666667
Italy,Male,15-19 years,2019,0.015689059,0.021501137,0.010697408,Gen_Z,1.57%,4.56,0.6,1.6,7.816666667
Italy,Female,15-19 years,2019,0.009704636,0.013549173,0.006636482,Gen_Z,0.97%,4.56,0.6,1.6,7.816666667
