,location,precent_of_prevalence
0,Albania,0.022228044771929825
1,Andorra,0.03045467961403509
2,Austria,0.04283229350877193
3,Belarus,0.03358444492982456
4,Belgium,0.03685455659649123
5,Bosnia and Herzegovina,0.027755184789473687
6,Bulgaria,0.024631675184210524
7,Croatia,0.02887036756140351
8,Cyprus,0.02871629192105263
9,Czechia,0.027442602114035087
10,Denmark,0.04454662140350877
11,Estonia,0.022939128192982456
12,Finland,0.03510259795614035
13,France,0.03569640095614035
14,Germany,0.032366952157894736
15,Greece,0.02872450890350877
16,Hungary,0.028334177052631578
17,Iceland,0.03514450689473684
18,Ireland,0.05287379709649123
19,Israel,0.014071863482456141
20,Italy,0.027326223192982457
21,Latvia,0.026841789350877193
22,Lithuania,0.028162799877192984
23,Luxembourg,0.036112366008771934
24,Malta,0.029055354280701755
25,Monaco,0.02953451829824561
26,Montenegro,0.02386897360526316
27,Netherlands,0.02316304737719298
28,North Macedonia,0.023115559824561403
29,Norway,0.020982179991228072
30,Poland,0.037671541368421047
31,Portugal,0.043598416675438595
32,Republic of Moldova,0.023857766070175437
33,Romania,0.02783834002631579
34,Russian Federation,0.043621869956140355
35,San Marino,0.02915314599122807
36,Serbia,0.025862856964912282
37,Slovakia,0.02842018235087719
38,Slovenia,0.032350969701754384
39,Spain,0.026589241166666666
40,Sweden,0.05106145628070176
41,Switzerland,0.03962518807017544
42,Ukraine,0.02995720312280702
43,United Kingdom,0.0446599553245614
